"address","airdrop_amount","verification_count"
"0xd8c84eac995150662cc052e6ac76ec184fcf1122","10099684.146517600000000000","2"
"0xbdd6bf23fe608fbb1f1924c341dd41b9d1003394","3257642.133000000000000000","2"
"0x29aa2ed8712072e918632259780e587698ef58df","3225368.398000000000000000","0"
"0xba55bdbf959df826da6c35487eb15fad2164662d","2230583.535000000000000000","1"
"0x5df6854884b77098d2a5cd304e43584a9d2699e9","1721431.627000000000000000","0"
"0xe1c9c17801089abc6de41106bfb5753d1aa26d2a","1711840.865000000000000000","2"
"0x47dacc0d2e4a25b08a84713707f52bcbc96c63ad","1647532.287000000000000000","0"
"0x96a96c48a6179f1f6d3e20047b9af2f5696572e0","1310449.255000000000000000","3"
"0xd778eb7a160b45b79a245c1c7881f0181990c992","1266390.154000000000000000","2"
"0xa36cbcef00e8ce8452c64461ec6973f4157b2930","855294.643500000000000000","2"
"0xea24918a807399a819b74e30baa05f0375ecdbbd","805059.640449000000000000","7"
"0xd73f607911967e716e9c275e71831d90c22e9bc2","437164.283700000000000000","2"
"0xa35338638b6c53a80b7b282ca7e195a63b67e992","366324.517000000000000000","1"
"0xa47ec7a1934b8065874487d403270b503636150a","357797.743819900000000000","8"
"0x5a6a19033e3790891a00d97be1931e45b2a78ff7","351415.992400000000000000","4"
"0x3420c19bcd121e6febcc20fd502b14a71c2f857b","350841.277300000000000000","2"
"0xd6554531a4e7243d5fc7a93132d5b33ccfdab21e","341488.999900000000000000","4"
"0x9f9ebce72c0715cdbad4d589986eb22f6782a1ce","340467.213900000000000000","1"
"0xe309c6b8e5af174632ddd2afcb19b5f457c2cf6d","312644.369416800000000000","3"
"0xa4c004f4242e895b375f67fc774364ea0e74630b","308691.835434700000000000","2"
"0x2a2c23dfbcc8faba8c1520efa84c1a682e284edb","265008.716008000000000000","3"
"0x9677b30ea760d93c7e114a5a5946783a9a93b281","244276.945947000000000000","3"
"0x3f9d71a1c67964b3f587812044ca89ede93ef979","225400.771073800000000000","3"
"0x907e660c6f9e7043f902933e79aa4bd986f6282a","171434.376281000000000000","3"
"0xff5b38ac00295eaf1eefc3b91862a060a9953714","165857.421650000000000000","4"
"0xb6da5c72fa3cf02c4326f685adacf50d4f55b746","157028.323600000000000000","1"
"0xca7ee9ee98fe6bbcd494566f88bbce95ebda0c18","142691.590100000000000000","3"
"0x6c7a85b5c4543fb2fd416cb24c044dd13f015341","140837.086000000000000000","3"
"0xfa42f81e66cd9c6c01c0bf47cbab4db8182087c8","129818.355669000000000000","3"
